"SVTYPE","depth","Seed","SVLEN_bin","count","concordant","discordant","concordance"
"INS","5x","seed3","0.5-1 kb",757,665,92,0.878467635402906
"INS","5x","seed3","1-5 kb",887,726,161,0.818489289740699
"INS","5x","seed3","5-10 kb",325,242,83,0.744615384615385
"INS","5x","seed3",">10 kb",33,22,11,0.666666666666667
"INV","5x","seed1","0.1-0.5 kb",18,17,1,0.944444444444444
"INV","5x","seed1","0.5-1 kb",17,16,1,0.941176470588235
"INV","5x","seed1","1-5 kb",30,27,3,0.9
"INV","5x","seed1","5-10 kb",3,3,0,1
"INV","5x","seed1",">10 kb",6,6,0,1
"INV","5x","seed2","0.1-0.5 kb",22,21,1,0.954545454545455
"INV","5x","seed2","0.5-1 kb",14,13,1,0.928571428571429
"INV","5x","seed2","1-5 kb",23,21,2,0.91304347826087
"INV","5x","seed2","5-10 kb",3,2,1,0.666666666666667
"INV","5x","seed2",">10 kb",5,4,1,0.8
"INV","5x","seed3","0.1-0.5 kb",21,21,0,1
"INV","5x","seed3","0.5-1 kb",14,13,1,0.928571428571429
"INV","5x","seed3","1-5 kb",31,31,0,1
"INV","5x","seed3","5-10 kb",2,2,0,1
"INV","5x","seed3",">10 kb",5,5,0,1
